task_id,formula,n_atoms,converged,volume_A3,energy_eV,delta_h_f_eV_per_atom,lld_rmsd_A,lld_mean_abs_disp_A,lld_local_strain_mean,C11_GPa,C12_GPa,C44_GPa,elastic_B_GPa,elastic_G_GPa,elastic_E_GPa,elastic_nu,eos_n_fits_ok,eos_n_fits,eos_B_GPa__anton-schmidt,eos_B_GPa__birch,eos_B_GPa__birchmurnaghan,eos_B_GPa__murnaghan,eos_B_GPa__p3,eos_B_GPa__pouriertarantola,eos_B_GPa__sj,eos_B_GPa__taylor,eos_B_GPa__vinet,eos_V0_A3__anton-schmidt,eos_V0_A3__birch,eos_V0_A3__birchmurnaghan,eos_V0_A3__murnaghan,eos_V0_A3__p3,eos_V0_A3__pouriertarantola,eos_V0_A3__sj,eos_V0_A3__taylor,eos_V0_A3__vinet,has_cell_opt,has_elastic,has_eos,has_post
tile_01__sqs_001,Hf22N108Nb21Ta21Ti22Zr22,216,True,2398.364011039971,-2244.0552730142285,-1.4234207495079332,0.10453245031628937,0.09607396376960005,0.04284675638286907,550.3336896976635,137.28810721252296,112.11535451089802,274.96996804090315,143.54073228568268,366.796718147502,0.2776746791896081,9,9,285.6435139219433,285.60320375110604,285.60320413669797,285.1407443306237,288.66373392600195,286.1510092191632,285.76459224801187,288.6637349643674,285.8104218809299,2398.4008497319633,2398.4016479443067,2398.4016488829443,2398.412044275149,2398.382421704612,2398.3930661394966,2398.3985046009684,2398.3824171362976,2398.3975449067275,True,True,True,True
tile_01__sqs_002,Hf22N108Nb21Ta21Ti22Zr22,216,True,2398.277857011081,-2243.95420676964,-1.422952850227432,0.1076121839827253,0.09870662964863798,0.044020864217403144,544.2269626500263,143.63398156925058,111.36037244115421,277.16497526284246,141.1726523759251,362.0487001290059,0.28229049336310374,9,9,285.3499528485685,285.3096711417726,285.309671387344,284.849145589473,288.3636155985082,285.8549794644914,285.4699137008617,288.3636129390078,285.51638675938335,2398.540895800073,2398.5417276166245,2398.541727522204,2398.5524701954364,2398.520076355872,2398.532721311405,2398.538462863777,2398.52008387439,2398.5374644532462,True,True,True,True
tile_01__sqs_003,Hf22N108Nb21Ta21Ti22Zr22,216,True,2398.3992682861335,-2244.2646790400913,-1.4243902218498903,0.10593420766674765,0.09809740364019061,0.043749163567801,542.8159669490636,140.0309294538238,113.60213974950014,274.2926086189038,143.1561174017388,365.82563832577995,0.27771570284755637,9,9,285.7795175382229,285.73917947927066,285.73917931977604,285.27762266972354,288.7984937741812,286.2857514445808,285.8998914713651,288.7984899945748,285.9462702826905,2398.619892703094,2398.620719238797,2398.620718947693,2398.63136678387,2398.5996641373686,2398.611844218448,2398.617503181895,2398.599670222901,2398.6164909100785,True,True,True,True
tile_01__sqs_004,Hf22N108Nb21Ta21Ti22Zr22,216,True,2399.674286061102,-2244.1660997536596,-1.423933836264558,0.10473952644944813,0.09622622451712412,0.04291466113978618,549.5237780421279,131.81869049455415,108.28524616233054,271.05371967707873,141.31483820626562,361.1774563950354,0.2779176658995087,9,9,285.36915612441334,285.32880663008063,285.3288068873914,284.8700490328715,288.3732364103477,285.8707073070716,285.4873576065578,288.37323924217424,285.5352216461221,2399.76989044025,2399.7707018437495,2399.770702582256,2399.7811112838162,2399.7509332740133,2399.7620831288623,2399.767570745242,2399.7509268759454,2399.766569669654,True,True,True,True
tile_01__sqs_005,Hf22N108Nb21Ta21Ti22Zr22,216,True,2399.4443597183995,-2244.087358892113,-1.4235692952388792,0.10249867278751268,0.09503298660925781,0.042382504747574025,539.2980726164803,134.7384120451785,110.38150929152073,269.59163223561245,141.01811478400316,360.242420732925,0.27729129440110156,9,9,285.42665634576764,285.38630213050214,285.38630218512264,284.9271633491839,288.43232069937886,285.92875282167375,285.545105265396,288.4323252507579,285.59281594061594,2399.516033079175,2399.516840566807,2399.5168401359824,2399.5272222042245,2399.4972959974452,2399.5082504312127,2399.51371358289,2399.4972846907426,2399.512723100116,True,True,True,True
tile_01__sqs_006,Hf22N108Nb21Ta21Ti22Zr22,216,True,2398.005714764287,-2243.6879052523727,-1.4217199728326744,0.10012574764230056,0.09271887761810885,0.04135046588608863,551.937814105954,136.46898604857407,111.97951124488652,274.958595401034,143.78755605178887,367.3315635182738,0.2773412860079827,9,9,285.67872276886015,285.6383773084022,285.63837755284254,285.1768535796289,288.69502729933265,286.1845680908009,285.79894707443987,288.69501336215546,285.8454448517309,2398.03272231003,2398.0335197263325,2398.0335200914355,2398.043885664534,2398.014366962418,2398.024965122164,2398.0303883575975,2398.0143904931197,2398.0294270978084,True,True,True,True
tile_01__sqs_007,Hf22N108Nb21Ta21Ti22Zr22,216,True,2399.0617410447767,-2243.883389371701,-1.4226249919036391,0.10500118570689483,0.09606018273418558,0.04284061036115894,537.6201279977224,140.98604258984452,109.0184143239884,273.19740439247045,138.85272681438775,356.21017627730276,0.2826906048214269,9,9,285.43128285634197,285.3909302495826,285.3909303246424,284.93094755651646,288.43882611069165,285.93447851135267,285.5502894914235,288.43881549601053,285.5976191947753,2398.987237953335,2398.988022622292,2398.9880229856753,2398.998182671082,2398.969997473724,2398.979704182728,2398.98497271138,2398.970015580778,2398.984009949934,True,True,True,True
tile_01__sqs_008,Hf22N108Nb21Ta21Ti22Zr22,216,True,2399.767762191804,-2244.280103020251,-1.4244616291654442,0.10579552031373515,0.09586889080473429,0.04275529860365859,532.1775630752423,145.1964504051535,113.36622976373741,274.19015462851644,140.6440018641174,360.3234979430451,0.2809771236855523,9,9,285.67320258676966,285.6328904629059,285.6328905671352,285.1700180375776,288.6944163431607,286.1812055002134,285.79452753987255,288.6944185569749,285.8402030930654,2399.7339873548276,2399.7347751149446,2399.7347752130013,2399.7450694152,2399.7163109656635,2399.7263298489493,2399.7316723991244,2399.716302974707,2399.7307209950013,True,True,True,True
tile_02__sqs_000,Hf22N108Nb21Ta21Ti22Zr22,216,True,2399.2867227200218,-2244.3250754235446,-1.4246698347362479,0.10526367934653258,0.09663500833107476,0.043096969226206,538.9498591969265,133.57488974688863,113.73354742344806,268.6998795635679,143.63287952881205,365.7316457143341,0.27314737027523744,9,9,285.56955402539865,285.5292240100754,285.52922376827183,285.06852955009447,288.58350800684093,286.0744007322657,285.68932439476157,288.5834989121016,285.7360747667002,2399.4547734348535,2399.4555924565466,2399.4555916808517,2399.46615460577,2399.4350329546455,2399.446810176972,2399.452402764267,2399.4350500441083,2399.4514008994206,True,True,True,True
tile_02__sqs_001,Hf22N108Nb21Ta21Ti22Zr22,216,True,2399.3346984272766,-2243.670687599075,-1.4216402614748134,0.10453845877249897,0.0961500473451853,0.04288068789042773,537.0235988921418,140.4402182280449,109.8660401347849,272.6346784494105,139.4771347553515,357.47176229568544,0.28147084080378215,9,9,285.49317031096473,285.45286162478124,285.45286176065025,284.9910565083069,288.50929285592065,285.99954759992204,285.6137573738239,288.50928494660945,285.6599040316368,2399.311677405621,2399.3124686490883,2399.3124689634024,2399.322752150104,2399.293920962233,2399.304029958607,2399.3093743267873,2399.2939353335723,2399.308411493174,True,True,True,True
